subID,AttenCheck,Age,Gender,Nation,Race,Ses,low_PCF1,high_PCF1,low_PCF2,high_PCF2,low_PCF3,high_PCF3,low_PCF4,high_PCF4,low_PCF5,high_PCF5,low_PCF6,high_PCF6,low_PCF7,high_PCF7,low_PCF8,high_PCF8,low_PCM1,high_PCM1,low_PCM2,high_PCM2,low_PCM3,high_PCM3,low_PCM4,high_PCM4,low_PCM5,high_PCM5,low_PCM6,high_PCM6,low_PCM7,high_PCM7,low_PCM8,high_PCM8,low_tree1,high_tree1,low_tree2,high_tree2,low_tree3,high_tree3,low_tree4,high_tree4,low_tree5,high_tree5,low_tree6,high_tree6,low_tree7,high_tree7,low_tree8,high_tree8,low_tree9,high_tree9,low_tree10,high_tree10,low_tree11,high_tree11,low_tree12,high_tree12,low_tree13,high_tree13,low_tree14,high_tree14,low_tree15,high_tree15,low_tree16,high_tree16,PCF,PCF_low,PCF_high,PCM,PCM_low,PCM_high,tree,tree_low,tree_high,Face race,selection,RT_low_female1,RT_high_female1,RT_low_female2,RT_high_female2,RT_low_female3,RT_high_female3,RT_low_female4,RT_high_female4,RT_low_female5,RT_high_female5,RT_low_female6,RT_high_female6,RT_low_female7,RT_high_female7,RT_low_female8,RT_high_female8,RT_low_male1,RT_high_male1,RT_low_male2,RT_high_male2,RT_low_male3,RT_high_male3,RT_low_male4,RT_high_male4,RT_low_male5,RT_high_male5,RT_low_male6,RT_high_male6,RT_low_male7,RT_high_male7,RT_low_male8,RT_high_male8,RT_low_tree1,RT_high_tree1,RT_low_tree2,RT_high_tree2,RT_low_tree3,RT_high_tree3,RT_low_tree4,RT_high_tree4,RT_low_tree5,RT_high_tree5,RT_low_tree6,RT_high_tree6,RT_low_tree7,RT_high_tree7,RT_low_tree8,RT_high_tree8,RT_low_tree9,RT_high_tree9,RT_low_tree10,RT_high_tree10,RT_low_tree11,RT_high_tree11,RT_low_tree12,RT_high_tree12,RT_low_tree13,RT_high_tree13,RT_low_tree14,RT_high_tree14,RT_low_tree15,RT_high_tree15,RT_low_tree16,RT_high_tree16,RT_PCF,RT_PCF_low,RT_PCF_high,RT_PCM,RT_PCM_low,RT_PCM_high,RT_tree,RT_tree_low,RT_tree_high,Comments,workerID,Aggression,IRI,SDO,PCAT1,PCAT2,Nationalism,IC-hi,IC-vi,IC-hc,IC-vc
130,1,30,1,usa,American Indian or Alaska Native,7,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.875,1,0.9375,0.875,1,0.96875,1,0.9375,1,0,25763,2951,3892,1905,232,3399,3027,1612,2530,3549,2556,5364,992,44145,50174,3978,2830,1151,936,2364,51156,28613,17203,2735,33191,24236,821,5899,52597,1869,25740,1664,2816,2910,2972,4754,2556,11154,1346,2959,1004,2544,1300,2016,2096,2362,4695,2289,8033,5027,4611,2745,29712,7492,1130,173,2736,1315,51433,7293,3646,1806,2975,1119,11145.75,8362.875,9754.3125,23059.25,8566.375,15812.8125,7691.3125,3622.375,5656.8438,good,A2PULTCTCSJ024,29,,48,38,37,33,32,28,32,31
131,1,23,1,American,White,9,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,1,1,0,1385,329,968,2061,3369,688,1072,1726,1451,30776,623,691,626,689,687,161,482,1241,1436,1433,352,1078,1777,750,290,256,4876,776,1466,784,1146,297,532,618,314,6298,735,394,47377,695,1155,1340,244,2457,694,1861,1214,888,729,2552,762,921,902,1258,259,515,18355,730,426,1898,738,1276,751,851,1272.625,4640.125,2956.375,1478.125,826.875,1152.5,4699.1875,1534.5,3116.8438,good,A19NX9CQGX6XI8,27,,47,33,35,34,30,28,30,27
132,0,25,2,USA,White,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.125,0,0.25,0.25,0,0.5,0.96875,0.9375,1,1,0,1461,2112,71801,1117,1183,3120,1812,3624,2058,1328,5832,2651,2187,1135,1072,1812,1351,1097,1826,43362,12962,3166,1708,3242,1464,11457,4886,2152,1647,2362,1293,1946,19301,1476,1557,1164,1907,1152,1276,1653,1229,1749,1047,6592,6075,1203,14217,1044,1228,875,915,1641,861,1776,2494,1057,1422,1043,3305,1121,9681,1595,2062,1061,10925.75,2112.375,6519.0625,3392.125,8598,5995.0625,4286.0625,1637.625,2961.8438,GOOD,A2MZGQOE2TEHUL,24,,48,34,26,35,25,24,25,25
133,0,26,2,USA,White,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.9375,0.875,1,0.90625,0.8125,1,1,0,962,703,6566,1287,2008,1029,2357,892,1093,651,770,937,1085,712,3660,1724,1362,1358,1096,662,1129,1484,1623,788,1532,1762,1164,783,1033,589,1578,1541,1692,13794,1155,1385,2233,1314,2313,1787,4456,821,784,1144,1319,1593,1544,934,2406,1265,2099,8598,1467,754,3541,667,3072,1508,1426,704,2363,874,1138,1452,2312.625,991.875,1652.25,1314.625,1120.875,1217.75,2063,2412.125,2237.5625,NICE SURVEY.,A1W5SVMFFOJUED,20,,41,31,31,28,23,24,27,29
134,0,25,2,american,White,9,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0.5,0.5,0.5,0.625,0.75,0.5,0.46875,0.5,0.4375,1,0,631,7427,2185,27386,1863,2204,3052,35634,3367,1949,2460,3673,1558,5500,30846,2931,4165,15103,1365,1122,773,4075,16600,3344,1508,5224,3771,253,561,2507,6766,3290,17663,3432,348,41322,2361,1565,38504,1481,7699,168539,13644,1821,6977,1827,2670,6252,854,446,4162,1021,4878,3743,3883,12446,13086,5218,2119,3732,15615,555,1452,6919,5745.25,10838,8291.625,4438.625,4364.75,4401.6875,8494.6875,16269.9375,12382.3125,good,A2DBJE313EAVC1,29,,47,33,31,36,29,27,28,26
135,1,25,1,usa,White,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AllLaunch,744,210,137,164,656,584,996,66,291,643,1615,323,219,224,190,145,403,194,218,192,482,283,261,1700,816,167,736,267,225,377,239,203,194,401,626,321,118,336,274,70,194,275,260,606,162,728,253,627,225,695,459,4538,767,513,282,276,378,121,782,268,1168,593,180,236,606,294.875,450.4375,422.5,422.875,422.6875,395.125,662.75,528.9375,good,A1YUVYT6ILN9NU,22,,47,40,27,35,28,26,25,25
136,1,24,1,white,White,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AllLaunch,869,2301,458,639,490,681,736,661,624,408,715,663,162,602,1272,743,649,593,649,707,659,1335,633,658,517,620,500,652,384,533,477,623,730,627,730,499,593,449,639,882,701,697,818,595,656,286,554,694,682,3458,2145,508,444,608,2202,655,597,687,659,859,1671,642,611,756,665.75,837.25,751.5,558.5,715.125,636.8125,902,806.375,854.1875,good,A1K82Z9OLF1U58,22,,45,33,26,40,28,27,27,26
137,1,24,1,white,White,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AllLaunch,569,729,620,667,1922,618,712,670,661,690,1455,1527,675,855,651,704,619,821,613,923,759,695,649,894,967,624,737,615,593,609,633,1094,657,717,673,651,792,631,1742,833,686,617,595,859,1527,3951,613,638,854,777,579,986,654,513,656,741,616,3229,738,711,624,352,262,680,908.125,807.5,857.8125,696.25,784.375,740.3125,766.75,1055.375,911.0625,good,A1T6S8YWTJGLM9,23,,55,29,24,38,29,24,26,25
138,1,24,1,USA,American Indian or Alaska Native,10,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0.6875,0.625,0.75,0.375,0.25,0.5,0.6875,0.6875,0.6875,1,0,900,811,807,674,282,297,956,10394,28652,463,2192,1171,888,1010,795,834,341,818,836,601,1196,808,892,1123,963,898,758,1574,1019,938,3316,1321,513,1168,695,298,424,217,414,785,995,10186,884,231,267,897,217,767,298,879,851,491,885,340,885,1146,802,850,1138,489,21161,859,1297,938,4434,1956.75,3195.375,1165.125,1010.125,1087.625,1982.875,1283.8125,1633.3438,GOOD,A18WO9O57UERFL,24,,53,36,34,37,26,21,26,19
139,1,30,1,USA,White,10,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0.5625,0.5,0.625,0.75,0.75,0.75,0.59375,0.625,0.5625,1,0,1411,782,715,1003,1138,980,2329,1721,1509,1841,193,1437,1957,1334,1401,1890,1151,1226,1290,887,885,252,1126,1118,46290,834,1203,316,1834,1659,1928,1409,2135,2079,1901,298,11222,2962,330,1994,1580,1099,8157,25434,968,1121,1552,1358,2283,2067,937,687,2505,121,986,743,829,924,1011,1023,833,2995,1148,769,1331.625,1373.5,1352.5625,6963.375,962.625,3963,2398.5625,2854.625,2626.5938,GOOD,AOXTPVRN9N6U,27,,46,37,33,38,29,27,29,28
140,1,32,1,usa,White,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AllLaunch,2249,1115,930,858,1226,1112,6298,728,40454,3282,978,1074,1530,2058,1510,1795,762,1009,810,1556,778,849,1450,1218,991,994,70218,1425,963,3199,1651,1539,1146,1954,7851,5843,1516,2596,1184,1883,1322,2715,966,2651,945,1525,1434,1016,762,1248,783,912,1934,1691,5732,1400,2475,1949,9099,1007,2321,3937,1396,1012,6896.875,1502.75,4199.8125,9702.875,1473.625,5588.25,2554.125,2083.6875,2318.9062,GOOD,ANIQJHHI4SL75,20,,46,36,21,48,24,24,23,21
141,1,30,1,alaska,American Indian or Alaska Native,8,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0.4375,0.5,0.375,0.4375,0.25,0.625,0.65625,0.625,0.6875,1,0,362,499,240,643,1563,117,235,234,344,435,174,113,296,162,667,1035,362,290,729,728,282,130,187,91,492,107,124,281,506,193,197,1033,218,93,252,466,172,778,609,225,164,297,633,258,242,548,305,344,529,219,185,247,139,517,172,467,1000,375,270,2133,4534,388,168,376,485.125,404.75,444.9375,359.875,356.625,358.25,599.5,483.1875,541.3438,good,AVECEQZUQOJJC,29,,47,34,23,32,28,30,32,30
142,0,25,1,indiana us,White,10,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.625,0.625,0.625,0.9375,0.875,1,0.25,0.1875,0.3125,1,0,1136,955,1002,1265,1238,1378,3498,1580,1767,2224,1190,1006,29303,798,1154,7233,2207,1151,889,1174,1820,1238,1565,2434,953,1090,1170,3566,1336,959,1178,5570,1602,2163,2057,1219,1322,2536,1299,2074,1497,1569,1083,952,1215,799,1606,1003,991,1075,2826,1439,1184,2038,1123,940,1451,13929,46073,1243,2328,1283,1697,1121,5036,2054.875,3545.4375,1389.75,2147.75,1768.75,4334.625,2211.4375,3273.0312,good,A39QSNS1QX5L6A,22,,48,30,24,34,24,26,24,24
143,0,25,1,American,White,9,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0.4375,0.75,0.125,0.25,0.375,0.125,0.84375,0.875,0.8125,1,0,1468,3304,12268,1361,1018,2136,1490,1971,1343,1344,957,1679,3198,1065,1193,1594,1973,1361,1303,1830,933,1893,1590,939,1388,2212,1602,1417,1351,2014,3488,1569,1544,1475,1230,2059,1881,12848,1288,1569,1640,2048,1257,1002,1235,1256,1442,2779,1348,942,1342,1561,1528,763,1248,1569,2439,1080,1289,1020,1365,2251,1299,1516,2866.875,1806.75,2336.8125,1703.5,1654.375,1678.9375,1460.9375,2233.625,1847.2812,Good,A1POLNQPOWS5PE,23,,48,39,25,37,23,24,26,26
144,0,25,2,american,White,9,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6875,0.5,0.875,0.75,0.875,0.625,0.125,0.0625,0.1875,1,0,884,1579,1483,1483,6243,2743,4990,1143,952,976,1976,13153,1615,1424,1478,1506,1432,985,1545,2255,1385,1615,10535,2376,1273,1671,1237,2911,4263,1816,3721,2354,2694,1696,6363,1652,1349,2301,2185,1335,1262,1512,56227,4686,1864,1326,2241,1263,1029,1274,994,15124,3811,2962,1774,1343,1365,1285,1111,158630,6047,21177,15184,1232,2452.625,3000.875,2726.75,3173.875,1997.875,2585.875,6593.75,13674.875,10134.3125,none,AKMZG3A5F8C8O,25,,51,37,29,35,23,27,27,24
145,1,32,1,usa,White,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.875,0.9375,0.8125,1,0,481,715,375,450,329,432,3713,406,1290,611,301,505,476,187,442,432,368,287,554,7682,362,243,1214,275,294,342,305,355,378,884,217,348,874,5099,337,656,319,339,352,1416,499,263,1621,594,486,496,396,443,346,740,244,1209,1364,256,590,373,322,322,915,1278,426,675,852986,529,925.875,467.25,696.5625,461.5,1302,881.75,53879.8125,918,27398.9062,good,A12B7SH0T31K8U,20,,46,34,27,42,29,27,28,28
146,0,30,1,Canadian,White,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0.9375,1,0.875,0.0625,0,0.125,1,0,1069,1950,859,967,1866,2325,1121,1935,1841,1969,16384,1026,2727,1220,1937,1389,2726,9510,4599,922,2020,916,36203,2573,1258,1772,1091,767,2108,2444,2279,1656,1655,2374,1418,1096,1124,2575,928,1900,2049,1247,1091,2333,3467,1133,2082,4537,1344,5387,1236,4289,1103,3607,2921,768,1876,2008,994,14182,1563,1337,1871,3786,3475.5,1597.625,2536.5625,6535.5,2570,4552.75,1670.125,3284.9375,2477.5312,good,A140BZI7KCZ9VX,12,,50,26,16,38,19,23,18,19
147,1,24,1,white,White,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AllLaunch,1096,755,1516,707,843,892,935,821,1712,805,1034,958,812,889,943,764,846,1055,1042,778,444,544,1263,834,860,993,714,823,1954,705,775,763,1166,820,593,882,739,1020,370,703,748,826,889,1025,959,848,881,830,795,634,1152,2961,3239,800,778,874,841,650,893,854,828,824,809,2723,1111.375,823.875,967.625,987.25,811.875,899.5625,980,1079.625,1029.8125,good,A1S0QK9U7INTSX,20,,53,29,27,35,26,24,23,28
148,1,24,1,white,White,9,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.6875,0.875,0.5,0.96875,0.9375,1,1,0,1984,987,742,786,1359,850,833,929,985,1753,3898,508,850,779,610,778,1553,1066,1003,1131,884,1021,1249,4459,945,1283,1074,1329,913,812,1297,818,852,817,984,649,905,763,709,490,834,1121,1152,2453,693,954,1033,1082,1402,1269,867,860,857,851,837,1248,981,1073,1533,913,865,66233,797,1144,1407.625,921.25,1164.4375,1114.75,1489.875,1302.3125,956.3125,5120,3038.1562,good,AVK8FE2J4KJ9U,29,,44,30,24,41,27,29,23,24
149,0,30,1,alaska,American Indian or Alaska Native,8,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0.5,0.625,0.375,0.8125,0.75,0.875,0.78125,0.875,0.6875,1,0,513,625,274,139,123,1142,826,176,441,1262,234,349,194,162,560,490,113,391,329,128,3488,1180,133,105,3367,961,143,306,342,298,161,464,602,1016,516,594,2862,1235,353,140,793,663,379,417,342,1489,2233,1498,367,275,324,892,4073,297,407,14347,546,606,280,381,249,407,248,1483,395.625,543.125,469.375,1009.5,479.125,744.3125,910.875,1608.75,1259.8125,good,A3MINJL6LILEDT,30,,41,39,27,30,31,21,23,27
150,0,25,2,American,White,8,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.875,1,1,1,1,0,0,0,1,0,2744,1323,17420,9537,3251,1394,5879,2316,1827,2486,1376,1484,1782,1138,1896,1433,1799,2483,1526,1847,1739,1494,12862,1697,1113,1622,1499,1656,1420,1419,1778,1599,1020,1473,1436,2673,1257,2297,1355,2187,1242,1339,1545,1463,2144,1309,1753,1208,1559,1177,1323,2305,1073,1408,1290,1170,1969,1454,1731,2841,1961,3350,1556,3527,4521.875,2638.875,3580.375,2967,1727.125,2347.0625,1513.375,1948.8125,1731.0938,Good and useful,A3E212R9K4F3B8,23,,47,33,27,42,24,23,26,22
151,1,32,1,usa,White,7,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0.875,0.875,0.875,0.625,0.625,0.625,0.71875,0.8125,0.625,1,0,495,1105,192,324,322,655,397,497,425,857,349,1008,727,152,785,219,779,366,1217,1042,763,742,715,384,432,575,307,209,81468,270,258,203,312,546,566,565,15296,323,626,422,393,346,1010,521,294,208,217,713,1448,425,515,348,1651,759,1336,507,251,318,3584,396,1107,361,1189,257,461.5,602.125,531.8125,10742.375,473.875,5608.125,1862.1875,438.4375,1150.3125,good,AIVVHJ55QGX5C,26,,49,37,21,43,27,28,26,29
152,1,30,1,USA,White,10,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0.5625,0.625,0.5,0.5625,0.5,0.625,0.34375,0.375,0.3125,1,0,236,815,372,1042,350,728,13711,1398,1164,913,370,819,1706,1158,968,914,667,876,618,814,1139,1368,842,264,681,706,1073,867,1344,1058,4527,498,809,723,1684,899,745,337,769,702,3570,443,1217,806,1027,2010,1524,986,882,752,1839,347,578,984,1594,658,99,873,5352,849,683,1063,810,1763,2359.625,973.375,1666.5,1361.375,806.375,1083.875,1448.875,887.1875,1168.0312,GOOD,A3BE0L8XRKG8GK,27,,51,41,36,31,28,30,31,28
153,1,30,1,alaska,American Indian or Alaska Native,9,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0.625,0.875,0.375,0.4375,0.5,0.375,0.46875,0.4375,0.5,1,0,820,242,2696,137,436,186,2729,224,428,1224,307,96,1719,6170,689,415,178,339,170,386,616,324,3395,601,61,100,497,232,136,163,1109,588,607,936,153,458,114,1635,151,324,868,409,232,244,532,787,477,946,617,819,130,260,154,1280,369,2426,2515,449,1243,218,419,849,241,368,1228,1086.75,1157.375,770.25,341.625,555.9375,551.375,775.5,663.4375,GOOD,A3BAX5D97A9FT2,17,,46,38,34,35,32,31,31,27
154,1,24,1,white,White,8,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.875,1,1,1,1,1,1,1,1,0,3755,790,1114,807,1337,769,2011,799,848,1067,864,955,5297,671,948,1077,3207,752,842,846,1062,6057,755,1443,728,1987,840,2605,1386,824,858,2708,1105,761,841,1516,1943,1567,840,1039,1107,836,858,670,1943,1308,833,2003,3834,1468,670,760,905,866,791,24300,785,1977,1175,831,836,7915,1594,786,2021.75,866.875,1444.3125,1209.75,2152.75,1681.25,1253.75,3037.6875,2145.7188,good,AFHPEABQ2CG6P,23,,47,38,25,30,28,30,28,29
155,1,24,1,USA,White,6,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0.6875,0.75,0.625,0.75,0.625,0.875,0.625,0.625,0.625,1,0,1256,1162,3336,1919,1762,1586,1448,1095,1319,1908,1105,1720,1320,1858,2754,1015,1498,1063,1964,1130,3111,1345,1315,1682,995,2120,1481,2555,2075,2049,3152,1388,1755,3160,1435,6376,1489,7490,2107,1346,2197,1175,720,1364,1242,4780,2065,2744,2200,2903,1329,1082,913,3243,1515,2691,1280,808,9925,7980,1107,1208,1075,1378,1787.5,1532.875,1660.1875,1948.875,1666.5,1807.6875,2022.125,3108,2565.0625,good,A19X7AX5PILYB3,25,,46,35,31,35,29,26,29,28
156,0,25,2,American,White,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0.09375,0.125,0.0625,1,0,1328,1148,1186,1181,1655,4109,1148,1221,1277,1592,2033,1177,1166,2122,2007,3999,1252,1349,1195,883,852,1389,1168,1263,1149,2030,979,1136,1170,1757,1974,1035,1964,1320,2594,1032,2077,2279,883,1730,1197,1514,2244,1285,1452,1379,2631,1170,1701,1610,1299,1307,2009,1661,1065,1189,1207,1163,1275,969,1468,1174,1309,1307,1475,2068.625,1771.8125,1217.375,1355.25,1286.3125,1648.4375,1380.5625,1514.5,good,A35Q4LCOBIL9P7,27,,49,35,31,36,23,24,23,27
157,1,25,2,usa,White,8,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0.375,0.5,0.25,1,1,1,0.65625,0.6875,0.625,1,0,2300,1934,2771,2089,1667,1835,3525,2176,3156,2595,1723,2401,20777,1897,3812,2104,11917,2226,1786,1577,47491,2868,1643,1675,1867,1515,2017,1410,14148,3404,2184,1889,2147,2380,1515,1244,1649,2134,1859,2049,1272,3052,1825,1732,1721,2355,1145,2442,3348,2154,2458,1044,3299,2045,1665,1347,3835,1890,2322,23552,1980,1057,2502,1288,4966.375,2128.875,3547.625,10381.625,2070.5,6226.0625,2158.875,3235.3125,2697.0938,good,A1X56FS2I7KG0R,24,,52,31,26,35,24,25,27,23
