ID,gender,race,low_neutral_female,low_neutral_male,low_pain_female,low_pain_male,low_tree,high_neutral_female,high_neutral_male,high_pain_female,high_pain_male,high_tree,low_neutral_female_RT,low_neutral_male_RT,low_pain_female_RT,low_pain_male_RT,low_tree_RT,high_neutral_female_RT,high_neutral_male_RT,high_pain_female_RT,high_pain_male_RT,high_tree_RT
15,female,Asian,0,0,0,0,0.096774,0.1875,0.1875,0.0625,0.0625,0.8125,0.9206,0.64691,0.63689,0.78091,1.0681,1.152,1.2165,0.99823,0.8823,1.1984
16,male,Asian,0,0,0,0,0.65625,0.25,0.125,0.625,0.375,1,0.47421,0.384,0.4572,0.43128,0.42376,0.46734,0.45408,0.41165,0.47446,0.32619
17,female,Asian,0.1875,0.375,1,0.9375,0.6875,0.875,1,1,1,0.9375,0.52686,0.65393,0.42166,0.38927,0.81367,0.79056,0.53337,0.27378,0.40874,0.58453
18,male,Asian,0,0,0,0,1,0,0,0,0,1,0.64426,0.69577,0.7163,0.66015,0.70564,0.73837,0.63848,0.66483,0.62744,0.69321
19,female,Asian,1,1,1,1,1,1,1,1,1,1,0.68196,0.88972,0.7294,0.8212,0.79117,0.73542,0.9579,0.72998,0.74935,0.82854
20,male,Asian,0.75,0.875,0.875,1,1,1,1,1,1,1,0.76768,0.67123,0.83814,0.61838,0.50026,0.58154,0.64162,0.61836,0.54045,0.57222
21,female,Asian,0.75,0.8125,1,0.6875,1,1,1,1,1,1,0.71154,0.58302,0.66814,0.59286,0.56238,0.54825,0.62466,0.57881,0.53243,0.62162
22,male,Asian,0,0,0,0,0.96875,0,0,0.0625,0,1,0.54619,0.50681,0.5742,0.5233,0.45101,0.47798,0.50687,0.57675,0.54798,0.48824
23,female,Asian,0.9375,0.75,0.8125,0.75,1,1,1,1,1,1,0.44403,0.47729,0.47084,0.51437,0.43593,0.52782,0.45198,0.50255,0.42408,0.4575
24,female,Asian,0,0,0,0,0.25806,0.875,0.75,0.9375,0.8125,1,0.54948,0.48743,0.44843,0.48254,0.84923,0.8458,0.49094,0.80764,1.135,0.41018
25,female,Asian,0,0,0,0,0.8125,0,0.0625,0,0,1,0.74662,0.73402,0.9156,0.91796,0.96257,0.80122,0.89519,1.1836,1.2623,0.66932
26,female,Asian,0,0,0,0,0.90625,0,0.125,0.066667,0.0625,1,0.97063,0.91287,0.981,1.072,0.96586,1.1659,1.2212,1.2942,1.3165,0.84009
27,male,Asian,0,0.0625,0.125,0,0.90625,0.6875,0.875,1,0.6875,0.96875,0.63101,0.66461,0.64364,0.56289,0.6876,0.71186,0.71777,0.6809,0.67432,0.61942
28,female,Asian,0.1875,0.3125,0.1875,0.0625,0.4375,1,1,1,0.9375,1,0.51591,0.56703,0.61129,0.71333,0.47334,0.38868,0.53406,0.54715,0.52364,0.48745
29,male,Asian,0,0.0625,0,0,0.96875,0.875,1,1,0.875,1,0.74851,0.76527,0.81707,1.0363,0.74297,0.99621,0.87044,0.67968,1.0233,0.79005
30,male,Asian,0,0,0,0,0.59375,0.25,0.5625,0.0625,0.4375,0.625,0.41329,0.35369,0.41954,0.50018,0.50125,0.41577,0.56342,0.35682,0.57337,0.44089
31,female,Caucasian,0,0,0,0,0.9375,0.1875,0.1875,0.5625,0.3125,1,0.41723,0.41352,0.36629,0.4482,0.36448,0.40392,0.35214,0.42148,0.37659,0.35967
32,male,Caucasian,0.375,0.1875,0.875,0.875,0.90625,0.875,1,1,1,1,0.61078,0.49504,0.53675,0.61119,0.54292,0.54103,0.58997,0.48472,0.41121,0.48097
33,male,Caucasian,0.0625,0.0625,0,0,0.375,0.9375,0.8125,0.8125,0.9375,1,0.53164,0.39902,0.36523,0.38984,0.42323,0.3929,0.47542,0.46649,0.45172,0.356
34,female,Caucasian,0,0,0,0,0.375,0,0,0,0,1,0.75517,1.1173,0.85513,1.0125,0.85593,0.79516,0.79138,0.89547,0.96564,0.69795
35,female,Caucasian,0.625,0.75,0.875,1,0.1875,0.9375,1,1,1,0.53125,0.60432,0.54331,0.57378,0.50103,0.45694,0.53772,0.67602,0.71455,0.53015,0.41079
36,male,Caucasian,0,0,0.25,0.125,0.6875,1,1,1,1,1,0.85153,0.60897,0.56902,0.51813,0.41073,0.4425,0.47071,0.41571,0.59115,0.3699
37,female,Caucasian,0.0625,0,0,0,1,0.4375,0.75,0.6875,0.625,1,0.5106,0.48981,0.51644,0.50309,0.46524,0.66023,0.50194,0.51099,0.54035,0.40929
38,male,Caucasian,0.3125,0.875,0.0625,0.25,1,0.75,1,0.5625,0.9375,1,0.93293,0.72645,0.683,0.89741,0.5342,1.0138,0.55708,0.90825,0.71695,0.39249
39,male,Caucasian,0.125,0,0.4375,0.1875,0.096774,1,1,1,1,1,1.0959,1.0819,0.909,0.92716,1.198,1.0994,1.1163,0.48037,0.83729,1.0893
40,female,Caucasian,0.1875,0.625,0.1875,0.1875,0.9375,0.75,0.875,0.75,0.9375,1,0.38401,0.55724,0.60406,0.55137,0.43668,0.55011,0.74324,0.48194,0.6114,0.49074
41,female,Caucasian,0.6875,0.33333,0.0625,0.125,0.875,1,1,0.875,0.625,1,0.7137,0.52412,0.51879,0.61604,0.42371,0.52106,0.50764,0.60555,0.80673,0.37401
42,male,Caucasian,0.1875,0.75,0.5,0.625,0.09375,0.8125,1,0.625,0.875,0.84375,0.6533,0.75563,0.69429,0.73419,0.62853,1.1492,0.564,0.85156,0.83421,0.65834
43,female,Caucasian,0,0,0,0,0,0.6875,0.75,1,0.5625,0.96875,1.4518,1.2656,1.3925,1.5733,1.3598,1.3983,1.6247,1.5565,1.4931,1.3799
44,male,Caucasian,0.1875,0,0.0625,0.1875,0,1,0.9375,0.9375,0.9375,0.4375,0.43996,0.43449,0.39237,0.39474,0.43353,0.51336,0.47566,0.34992,0.40694,0.41904
45,female,Caucasian,0.75,1,0.9375,0.75,1,1,1,1,1,1,0.745,0.80887,0.73519,0.75515,0.76415,0.65033,0.69522,0.7133,0.72655,0.7013
46,male,Asian,0,0,0,0.0625,1,0.75,0.75,1,0.53333,1,0.37223,0.43299,0.32762,0.36936,0.31201,0.54789,0.35983,0.37635,0.30445,0.31654
47,female,Caucasian,0.8125,0.75,0.8125,0.8125,0.40625,0.9375,1,0.8125,0.875,0.71875,0.41199,0.47011,0.46379,0.49469,0.4647,0.49339,0.42613,0.45921,0.42288,0.44866
48,female,Asian,0.0625,0.25,0,0.0625,0.5,0.5,0.625,0.5,0.875,0.96875,0.67063,0.95513,0.75886,0.67224,0.7772,0.69726,1.0483,1.084,0.9345,0.75636
49,female,Caucasian,0,0.0625,0.0625,0,1,0,0.0625,0.125,0.0625,1,0.50302,0.5151,0.5397,0.58562,0.40993,0.49819,0.54823,0.57094,0.57114,0.42474
51,male,Caucasian,0.3125,0.125,0.8125,0.5,0.5,0.9375,1,1,1,1,0.59457,0.54873,0.64316,0.65761,0.53547,0.70932,0.50921,0.56276,0.38174,0.52579
52,female,Caucasian,0.5625,0.75,0.5,0.5,0.21875,0.9375,0.9375,0.9375,0.9375,0.90625,1.249,0.90282,1.3132,1.5895,1.0531,1.013,0.93825,1.1204,0.89025,0.78997
53,male,Asian,0,0,0,0,1,0,0,0,0,1,0.36931,0.37119,0.41374,0.34764,0.35837,0.42982,0.38489,0.39615,0.39967,0.35805
54,female,Asian,0,0,0,0,0.9375,0,0,0,0,1,0.6065,0.68448,0.55006,0.63445,0.63381,0.54942,0.76744,0.60774,0.84784,0.55636
55,female,Caucasian,0,0.1875,0.0625,0.1875,0.90625,0.375,0.5,0.625,0.5625,1,0.76354,0.87283,0.70724,0.81524,0.62005,0.98254,0.8175,1.2107,0.99341,0.61839
56,female,Asian,0,0,0,0,0.96875,0,0,0,0.0625,1,0.45826,0.40851,0.41045,0.38886,0.40356,0.39266,0.51377,0.44279,0.512,0.39723
57,male,Asian,0.6875,0.75,0.25,0.125,0.03125,1,1,0.9375,0.9375,0.125,0.83877,0.71811,0.8012,0.61985,0.52726,0.65217,0.59614,0.54491,0.50868,0.53098
58,female,Caucasian,0,0.0625,0,0,0.96875,0.5,0.6875,0.75,0.5,1,1.0459,1.3461,1.1137,1.0225,0.79005,1.2585,1.1725,1.0896,1.0342,0.9771
59,female,Asian,0,0,0,0,1,0,0,0,0,1,0.72838,0.80541,0.63281,0.65442,0.70491,0.63776,0.60525,0.65449,0.64565,0.66839
60,male,Caucasian,0.5625,0.5,0.125,0.25,0.6875,0.875,0.875,0.9375,0.875,0.9375,1.2324,0.95126,0.71763,0.80845,0.70496,0.45765,0.49407,0.78684,1.1626,0.52905
61,female,Caucasian,0.0625,0,0,0,0.125,0.625,0.75,0,0.125,0.96875,0.50766,0.60061,0.52993,0.4961,0.42579,0.51583,0.51973,0.50458,0.58968,0.46979
62,female,Asian,0,0,0,0,0.1875,0,0,0.0625,0.0625,0.3125,0.57459,0.59372,0.57432,0.66873,0.72797,0.68171,0.67497,0.60122,0.69367,0.62918
63,male,Caucasian,0,0.4375,0.0625,0.125,0.75,0.8,0.9375,0.5,1,1,1.0583,0.86483,0.78102,0.78553,0.86186,0.85422,0.93419,0.84542,0.69911,0.52902
64,female,Caucasian,0,0.5,0,0.0625,0.46875,0.1875,1,0.5,0.9375,1,0.82544,0.76094,0.58486,0.96618,0.83615,1.0569,0.65019,0.87257,0.82564,0.91225
65,female,Asian,0.125,0.25,0.0625,0,0.875,0.9375,1,1,1,1,0.64642,0.52016,0.57838,0.58256,0.38908,0.41797,0.4395,0.46377,0.50341,0.4372
66,male,Asian,0.1875,0.0625,0.0625,0.25,0.96875,1,1,1,1,1,0.85314,0.67499,0.73264,0.78814,0.66821,0.59482,0.60561,0.74627,0.76759,0.54937
67,female,Caucasian,0.0625,0,0.1875,0,1,0.125,0,0.25,0.0625,1,0.49718,0.41443,0.42355,0.44756,0.42935,0.45108,0.48252,0.46116,0.46527,0.46526
68,male,Asian,0.6875,0.4375,0.6875,0.6875,0.59375,1,0.9375,1,1,0.96774,1.2088,1.1274,1.5189,1.1843,1.2363,1.1454,1.273,1.3188,1.2582,1.2508
69,male,Caucasian,0.0625,0,0,0,1,0,0,0,0,1,0.63104,0.65098,0.70697,0.62282,0.62829,0.60259,0.64709,0.57041,0.64333,0.57021
70,female,Caucasian,0.25,0.25,0.0625,0.375,0.90625,0.3125,0.3125,0.25,0.5,0.6875,0.70161,0.63958,0.44836,0.60836,0.54196,0.75437,0.44777,0.52929,0.55566,0.61298
71,female,Asian,0.25,0.3125,0.25,0.5,0.8125,1,1,1,1,1,0.40016,0.41048,0.43621,0.43063,0.39424,0.45883,0.46029,0.51854,0.50721,0.37885
72,female,Asian,0.0625,0.0625,0.0625,0.1875,0.3125,1,1,0.75,0.8125,0.96875,0.40053,0.43578,0.32,0.33116,0.44053,0.51221,0.4109,0.4814,0.46184,0.3765
73,female,Caucasian,0,0,0,0,0.625,0,0,0,0,0,0.63046,0.51974,0.56362,0.50715,0.6765,0.61014,0.55014,0.50136,0.54007,0.61198
74,female,Asian,0.125,0,0.0625,0,0.75,0.5,0.875,0.5625,0.375,1,0.59762,0.53172,0.61704,0.61066,0.55018,1.0646,0.93215,0.84607,0.96792,0.45034
75,male,Caucasian,0.4375,0.0625,0.8125,0.375,1,1,1,1,1,1,0.69995,0.58231,0.83167,0.63786,0.60112,0.71821,0.72983,0.74332,0.83737,0.59711
76,male,Asian,0,0,0,0,1,0,0,0,0,0.96875,0.46621,0.47628,0.50041,0.42593,0.33104,0.58435,0.4229,0.48405,0.50855,0.39857
77,female,Caucasian,0,0,0,0,0.53125,0,0,0,0,0.84375,0.84103,0.83037,0.97351,0.89474,0.97662,1.1464,1.2502,1.1868,1.0066,0.89199
78,female,Asian,0,0,0,0.0625,0.96875,0.5,0.6875,0.75,0.5,1,0.45079,0.384,0.51637,0.49012,0.38281,0.53549,0.43548,0.6796,0.36092,0.36216
79,male,Caucasian,0,0,0,0,0.65625,0.1875,0.375,0,0,1,0.39203,0.46021,0.4517,0.42302,0.47633,0.46299,0.3893,0.36505,0.39246,0.36749
80,male,Asian,0.5,0.25,0.25,0,0.9375,1,1,1,1,1,0.40262,0.40129,0.40042,0.3887,0.37087,0.34139,0.37355,0.31941,0.38264,0.34735
81,male,Caucasian,0,0,0,0,0.75,0,0,0.0625,0,1,0.49529,0.43718,0.50959,0.59223,0.48354,0.52601,0.54898,0.50535,0.46028,0.3868
82,male,Caucasian,0,0,0,0,1,0,0,0,0,0.96875,0.49888,0.5531,0.45947,0.53045,0.50783,0.4584,0.39561,0.63057,0.47467,0.45441
83,male,Asian,0.8125,0.5625,0.0625,0.125,1,1,1,1,0.9375,1,0.61818,0.42449,0.44217,0.39299,0.34856,0.44354,0.52014,0.53461,0.4679,0.38488
84,male,Caucasian,0.5625,0.875,0.875,0.875,0.96875,1,1,0.9375,1,1,0.39158,0.37248,0.48141,0.33762,0.366,0.3996,0.38195,0.35471,0.3337,0.39902
85,male,Asian,0,0,0,0,1,0,0.25,0.25,0.4375,0.96875,1.359,1.2823,1.3522,1.9311,1.2296,1.879,2.229,2.2153,2.5542,1.2289
86,male,Asian,0.875,0.75,0.4375,0.5,0.9375,1,0.875,0.3125,0.375,0.9375,0.41771,0.62204,0.49589,0.46294,0.40625,0.60656,0.40525,0.60227,0.51807,0.46809
87,male,Caucasian,0,0,0,0.0625,0.96875,0.75,1,0.5,0.75,1,0.39983,0.49017,0.41751,0.59139,0.33672,0.47617,0.50588,0.39547,0.43635,0.41211
88,male,Asian,0,0,0,0,0.28125,0,0,0,0,1,0.40163,0.40434,0.39169,0.54232,0.46189,0.45881,0.44358,0.46545,0.55597,0.40245
89,male,Asian,0.25,0.4375,0.5,0,1,1,1,1,1,1,0.33656,0.29691,0.33898,0.41075,0.29705,0.32606,0.30311,0.32606,0.27524,0.25479
90,male,Caucasian,0.1875,0,0.125,0.3125,0.40625,1,1,0.9375,1,1,0.30117,0.34602,0.36344,0.3859,0.32329,0.34801,0.36169,0.49538,0.3239,0.32405
91,male,Caucasian,0.6875,0.75,0,0,1,1,1,0.8125,0.5,1,0.72159,0.89036,0.58034,0.59662,0.50833,0.7793,0.6004,0.76817,0.57358,0.54951
92,male,Asian,0.75,0.5,0.9375,1,0.21875,1,1,1,1,0.25,0.32509,0.33335,0.34236,0.3919,0.35087,0.36079,0.39171,0.28661,0.3588,0.51485
93,male,Caucasian,0,0,0.0625,0.0625,0.96875,0.75,0.5625,0.75,0.9375,1,0.56143,0.63101,0.62712,0.66,0.64295,0.89206,0.78592,0.90408,0.75096,0.56598
